"Name","Guid","Source"
"FlowerBoss_Idle_001.png","c1659c93a5c94b2cbf385ce685fdf6f4","1-Photoroom.png"
"FlowerBoss_Idle_002.png","f01070766fc24ed3bf8a1889039f5fea","2-Photoroom.png"
"FlowerBoss_Idle_003.png","cf69e984043b4359bae840158e659ce6","3-Photoroom.png"
"FlowerBoss_Idle_004.png","abe53ab891ae40e8a6e777b487dc9e85","4-Photoroom.png"
"FlowerBoss_Idle_005.png","4c2f1ec3d7454ba1a7c68907c8f43b57","5-Photoroom.png"
"FlowerBoss_Idle_006.png","32b9d5f589a84ec59a7212b2c0ba8b3e","6-Photoroom.png"
"FlowerBoss_Idle_007.png","2031859c34af426fa583f690b2b9d1cc","7-Photoroom.png"
"FlowerBoss_Idle_008.png","2a152d458508456c8864667673bb77e0","8-Photoroom.png"
"FlowerBoss_Idle_009.png","a35ceeaad2354046a49e44b8bf89d615","9-Photoroom.png"
"FlowerBoss_Idle_010.png","08de5d85c8e84f64ba8b71c2ed5e72ac","10-Photoroom.png"
"FlowerBoss_Idle_011.png","2f96123be0fd48a595da36c4bde59ce2","10-Photoroom.png"
"FlowerBoss_Idle_012.png","c56410298f2146ba9038c7cb276f6c93","9-Photoroom.png"
"FlowerBoss_Idle_013.png","7cbdab2e364642238181bd50a90846c1","8-Photoroom.png"
"FlowerBoss_Idle_014.png","6f61822aff0543fc923ee74f24553e83","7-Photoroom.png"
"FlowerBoss_Idle_015.png","f500499030e148278edc2f075bfd22c7","6-Photoroom.png"
"FlowerBoss_Idle_016.png","11a03105b7f44d75a630eb12fcfb39a3","5-Photoroom.png"
"FlowerBoss_Idle_017.png","8639123decdc4aa1ae06ed27cd2bd89b","4-Photoroom.png"
"FlowerBoss_Idle_018.png","bd9c998000a349908e1e5d97f144a968","3-Photoroom.png"
"FlowerBoss_Idle_019.png","4c7ce9cdc7784d058141cfc73e9c6adf","2-Photoroom.png"
"FlowerBoss_Idle_020.png","d8dd028e452c4cb997f76fc39915eadd","1-Photoroom.png"
